sueldo_id,empleado_id,periodo,monto,moneda,tipo
S000001,E1001,2023-01-01,6654.08,USD,normal
S000002,E1001,Feb 2023,6730.49,USD,normal
S000003,E1001,2023/03/01,$7164.34,USD,normal
S000004,E1001,01/04/2023,6813.12,USD,normal
S000005,E1001,May 2023,6712.05,USD,normal
S000006,E1001,2023/06/01,7080.61,USD,normal
S000007,E1001,01/07/2023,7008.75,USD,normal
S000008,E1001,2023/08/01,6880.79,USD,normal
S000009,E1001,2023-09-01,6886.23,USD,normal
S000010,E1001,Oct 2023,7319.51,USD,normal
S000011,E1001,2023-11-01,6802.79,USD,normal
S000012,E1001,Dec 2023,6665.36,USD,normal
S000013,E1001,01/01/2024,7806.84,USD,normal
S000014,E1001,Feb 2024,7624.82,USD,normal
S000015,E1001,Mar 2024,7516.03,USD,normal
S000016,E1001,01/04/2024,7468.33,USD,normal
S000017,E1001,May 2024,7776.47,USD,normal
S000018,E1001,2024/06/01,7843.53,USD,normal
S000019,E1001,Jul 2024,7555.65,USD,normal
S000020,E1001,01/08/2024,7735.68,USD,normal
S000021,E1001,Sep 2024,7780.45,USD,normal
S000022,E1001,2024/10/01,7614.28,USD,normal
S000023,E1001,Nov 2024,8038.67,USD,normal
S000024,E1001,2024/12/01,7788.31,USD,normal
S000025,E1001,2025/01/01,8456.39,USD,normal
S000026,E1001,2025/02/01,8652.44,USD,normal
S000027,E1001,Mar 2025,8725.75,USD,normal
S000028,E1001,2025/04/01,8795.5,USD,normal
S000029,E1001,2025/05/01,5200.62,USD,bonus
S000030,E1001,01/06/2025,8948.6,USD,normal
S000031,E1001,2025-07-01,8761.94,USD,normal
S000032,E1001,2025-08-01,8956.78,USD,normal
S000033,E1001,2025-09-01,8916.85,USD,ajuste
S000034,E1001,01/10/2025,8469.31,USD,normal
S000035,E1001,01/11/2025,8507.43,USD,normal
S000036,E1001,2025/12/01,8833.05,USD,normal
S000037,E1002,2023/01/01,512427.22,ARS,normal
S000038,E1002,Feb 2023,500122.85,ARS,normal
S000039,E1002,01/03/2023,514267.29,ARS,normal
S000040,E1002,2023-04-01,541624.67,ARS,normal
S000041,E1002,01/05/2023,545099.93,ARS,normal
S000042,E1002,Jun 2023,540460.89,ARS,normal
S000043,E1002,2023-07-01,528920.71,ARS,normal
S000044,E1002,Aug 2023,433252.46,ARS,bonus
S000045,E1002,2023-09-01,497752.39,ARS,normal
S000046,E1002,2023/10/01,507282.6,ARS,normal
S000047,E1002,Nov 2023,524770.59,ARS,normal
S000048,E1002,2023-12-01,511807.83,ARS,normal
S000049,E1002,01/01/2024,563617.83,ARS,normal
S000050,E1002,2024/02/01,593435.42,ARS,normal
S000051,E1002,2024/03/01,562410.61,ARS,normal
S000052,E1002,2024/04/01,547031.1,ARS,normal
S000053,E1002,May 2024,519353.88,ARS,bonus
